compound_name,species,strain,dosage,age_at_initiation,treatment_duration,avg_lifespan_change_percent,avg_lifespan_significance,max_lifespan_change_percent,max_lifespan_significance,gender,weight_change_percent,weight_change_significance,ITP,pubmed_id
Levodopa,Mus musculus,Swiss Albino,20000 ppm food,1 month,until death,15,S,12,S,Male,-7,NS,No,850799
Levodopa,Mus musculus,Swiss Albino,1000 ppm food,1 month,until death,7,NS,-14,S,Male,4,NS,No,850799
Diethylnitrosamine,Mesocricetus auratus,ENG:ELA,0.25 mg,,,-9.8,S,,NA,Male,,NA,No,943562
Sodium tungstate,Rattus norvegicus,Long-Evans,5 ppm,,,-3.57,NS,-12.18,NA,Female,,NA,No,1113208
Sodium tungstate,Rattus norvegicus,Long-Evans,5 ppm,,,-13.37,S,-15.53,NA,Male,,NA,No,1113208
Vanadyl sulfate,Mus musculus,Swiss,5 ppm water,after weaning,until death,12,NA,11,S,Female,-14,NA,No,1113210
Vanadyl sulfate,Mus musculus,Swiss,5 ppm water,after weaning,until death,0,NA,15,S,Male,11,NA,No,1113210
Sodium tungstate,Mus musculus,Swiss,5 ppm water,after weaning,until death,-3,NA,2,NS,Female,,NA,No,1113210
Sodium tungstate,Mus musculus,Swiss,5 ppm water,after weaning,until death,41,NA,-15,NS,Male,,NA,No,1113210
Sodium metaborate,Mus musculus,Swiss,5 ppm water,after weaning,until death,-3,NA,4,NS,Female,,NA,No,1113210
Sodium metaborate,Mus musculus,Swiss,5 ppm water,after weaning,until death,30,NA,-6,NS,Male,,NA,No,1113210
Potassium titanium oxalate,Mus musculus,Swiss,5 ppm water,after weaning,until death,0,NA,-4,NS,Female,-3,NA,No,1113210
Potassium titanium oxalate,Mus musculus,Swiss,5 ppm water,after weaning,until death,-6,NA,4,NS,Male,11,NA,No,1113210
Nickelous acetate,Mus musculus,Swiss,5 ppm water,after weaning,until death,5,NA,9,S,Female,-14,NA,No,1113210
Nickelous acetate,Mus musculus,Swiss,5 ppm water,after weaning,until death,-7,NA,9,NS,Male,4,NA,No,1113210
Methylmercury acetate,Mus musculus,Swiss,1 ppm water,after weaning,until death,2,NA,4,NS,Female,15,NA,No,1113210
Methylmercury acetate,Mus musculus,Swiss,1 ppm water,after weaning,until death,2,NA,-16,NS,Male,-29,NA,No,1113210
Mercuric chloride,Mus musculus,Swiss,5 ppm water,after weaning,until death,7,NA,19,NS,Female,8,NA,No,1113210
Mercuric chloride,Mus musculus,Swiss,5 ppm water,after weaning,until death,-10,NA,-18,NS,Male,11,NA,No,1113210
Lead acetate,Mus musculus,Swiss,25 ppm water,after weaning,until death,16,NA,2,NS,Female,-3,NA,No,1113210
Lead acetate,Mus musculus,Swiss,25 ppm water,after weaning,until death,-5,NA,-2,NS,Male,11,NA,No,1113210
Beryllium sulfate,Mus musculus,Swiss,5 ppm water,after weaning,until death,11,NA,13,NS,Female,-4,NA,No,1113210
Beryllium sulfate,Mus musculus,Swiss,5 ppm water,after weaning,until death,-9,NA,-2,NS,Male,7,NA,No,1113210
Barium acetate,Mus musculus,Swiss,5 ppm water,after weaning,until death,8,NA,-3,NS,Female,0,NS,No,1113210
Barium acetate,Mus musculus,Swiss,5 ppm water,after weaning,until death,-9,NA,-12,S,Male,-4,NA,No,1113210
Aluminum potassium sulfate,Mus musculus,Swiss,5 ppm water,after weaning,until death,-3,NA,3,NS,Female,27,NA,No,1113210
Aluminum potassium sulfate,Mus musculus,Swiss,5 ppm water,after weaning,until death,-6,NA,2,NS,Male,0,NS,No,1113210
Prednisolone sodium phosphate,Mus musculus,DBA/2J,3-3.2 ppm water,7.7 months,until death,0,NS,4,NS,Female,0,NS,No,1132444
Ascorbic acid,Drosophila melanogaster,Swedish C,0.001 M,,,0,NS,,NA,Male,,NA,No,1756780
Ascorbic acid,Drosophila melanogaster,Swedish C,0.01 M,,,4.4,NS,,NA,Male,,NA,No,1756780
Ascorbic acid,Drosophila melanogaster,Swedish C,0.1 M,,,0,NS,,NA,Male,,NA,No,1756780
Ascorbic acid,Drosophila melanogaster,Oregon-R,0.01 M,,,1.7,NS,,NA,Male,,NA,No,1756780
Ascorbic acid,Drosophila melanogaster,Oregon-R,0.1 M,,,-3.4,S,,NA,Male,,NA,No,1756780
L-Gulonolactone,Drosophila melanogaster,Oregon-R,0.008 M,,,-4.5,NS,,NA,Male,,NA,No,1756780
L-Gulonolactone,Drosophila melanogaster,Oregon-R,0.08 M,,,-9,S,,NA,Male,,NA,No,1756780
L-Gulonolactone,Drosophila melanogaster,Oregon-R,0.8 M,,,-40.3,S,,NA,Male,,NA,No,1756780
Xanthine,Drosophila melanogaster,Oregon-R,0.45 mM,,,1.8,NS,,NA,Male,,NA,No,1800135
L-deprenyl,Rattus norvegicus,Fischer 344,0.0025,,,16.7,S,17,NA,Unknown,,NA,No,2118586
